time,temperature,kinetic_energy
0,300,1789.21
1,300.135,1790.01
2,300.504,1792.21
3,301.033,1795.37
4,301.701,1799.35
5,302.55,1804.42
6,303.561,1810.44
7,304.661,1817.01
8,305.996,1824.97
9,307.494,1833.91
10,309.006,1842.92
11,310.834,1853.82
12,312.828,1865.71
13,314.73,1877.06
14,317.059,1890.95
15,319.557,1905.85
16,321.83,1919.4
17,324.667,1936.32
18,327.674,1954.26
19,330.295,1969.89
20,333.643,1989.86
21,337.162,2010.84
22,340.1,2028.36
23,343.954,2051.35
24,347.975,2075.33
25,351.19,2094.51
26,355.532,2120.4
27,360.032,2147.24
28,363.47,2167.74
29,368.262,2196.33
30,373.196,2225.75
31,376.783,2247.14
32,381.968,2278.07
33,387.271,2309.7
34,390.916,2331.43
35,396.416,2364.23
36,402.006,2397.58
37,405.611,2419.08
38,411.34,2453.24
39,417.131,2487.78
40,420.605,2508.5
41,426.479,2543.53
42,432.39,2578.79
43,435.649,2598.22
44,441.587,2633.64
45,447.534,2669.11
46,450.494,2686.76
47,456.406,2722.02
48,462.294,2757.14
49,464.867,2772.48
50,470.658,2807.02
51,476.399,2841.26
52,478.524,2853.93
53,484.14,2887.42
54,489.711,2920.65
55,491.419,2930.84
56,496.921,2963.65
57,502.433,2996.53
58,503.895,3005.25
59,509.485,3038.59
60,515.171,3072.49
61,516.633,3081.21
62,522.553,3116.52
63,528.627,3152.75
64,530.241,3162.37
65,536.596,3200.27
66,543.091,3239.01
67,544.797,3249.18
68,551.483,3289.06
69,558.251,3329.42
70,559.864,3339.04
71,566.711,3379.88
72,573.598,3420.96
73,574.989,3429.25
74,581.892,3470.42
75,588.806,3511.66
76,589.885,3518.09
77,596.745,3559.01
78,603.582,3599.78
79,604.254,3603.79
80,610.964,3643.81
81,617.61,3683.44
82,617.762,3684.35
83,624.174,3722.59
84,630.463,3760.1
85,629.958,3757.09
86,635.95,3792.82
87,641.84,3827.95
88,640.785,3821.66
89,646.574,3856.19
90,652.424,3891.07
91,651.292,3884.33
92,657.382,3920.65
93,663.654,3958.05
94,662.769,3952.77
95,669.301,3991.73
96,675.903,4031.11
97,674.922,4025.25
98,681.387,4063.81
99,687.697,4101.45
100,685.991,4091.27
101,691.804,4125.94
102,697.355,4159.04
103,694.649,4142.91
104,699.642,4172.68
105,704.406,4201.1
106,700.852,4179.9
107,705.245,4206.1
108,709.566,4231.87
109,705.671,4208.65
110,710.068,4234.87
111,714.661,4262.26
112,711.204,4241.64
113,716.387,4272.55
114,721.953,4305.75
