time,temperature,kinetic_energy
0,300,177.309
1,300.055,177.342
2,300.186,177.419
3,300.349,177.515
4,300.538,177.627
5,300.767,177.762
6,301.03,177.918
7,301.306,178.081
8,301.637,178.276
9,302.003,178.493
10,302.364,178.706
11,302.802,178.965
12,303.276,179.245
13,303.722,179.509
14,304.271,179.834
15,304.859,180.181
16,305.388,180.493
17,306.053,180.887
18,306.758,181.303
19,307.369,181.664
20,308.156,182.129
21,308.984,182.619
22,309.674,183.027
23,310.586,183.565
24,311.539,184.129
25,312.302,184.58
26,313.337,185.192
27,314.412,185.827
28,315.237,186.314
29,316.386,186.994
30,317.569,187.693
31,318.429,188.201
32,319.666,188.932
33,320.923,189.675
34,321.773,190.177
35,323.046,190.93
36,324.312,191.678
37,325.073,192.128
38,326.289,192.847
39,327.457,193.537
40,328.011,193.864
41,329.032,194.468
42,329.954,195.013
43,330.159,195.134
44,330.836,195.534
45,331.377,195.854
46,331.157,195.723
47,331.443,195.893
48,331.635,196.006
49,331.142,195.715
50,331.283,195.798
51,331.489,195.92
52,331.197,195.747
53,331.725,196.059
54,332.484,196.508
55,332.839,196.718
56,334.077,197.449
57,335.507,198.295
58,336.353,198.795
59,337.967,199.749
60,339.567,200.694
61,340.299,201.127
62,341.71,201.961
63,342.988,202.716
64,343.266,202.88
65,344.275,203.477
66,345.166,204.004
67,345.042,203.93
68,345.71,204.325
69,346.258,204.649
70,345.747,204.347
71,346.015,204.505
72,346.136,204.577
73,345.208,204.028
74,345.117,203.975
75,345.016,203.915
76,344.103,203.375
77,344.294,203.488
78,344.809,203.793
79,344.855,203.82
80,346.299,204.673
81,348.269,205.838
82,349.76,206.719
83,352.622,208.41
84,355.751,210.26
85,357.859,211.506
86,361.014,213.37
87,363.932,215.095
88,365.182,215.834
89,367.221,217.039
90,368.689,217.906
91,368.167,217.598
92,368.396,217.733
93,368.025,217.514
94,365.745,216.166
95,364.346,215.339
96,362.567,214.288
97,359.277,212.344
98,357.095,211.054
99,354.905,209.759
100,351.746,207.893
101,349.924,206.815
102,348.446,205.942
103,346.428,204.75
104,345.859,204.413
105,345.804,204.38
106,345.355,204.115
107,346.332,204.693
108,347.785,205.551
109,348.699,206.092
110,350.92,207.404
111,353.403,208.872
112,354.977,209.802
113,357.688,211.404
114,360.368,212.988
115,361.712,213.782
116,364.069,215.175
117,366.166,216.415
118,366.627,216.688
119,368.077,217.545
120,369.173,218.192
121,368.522,217.808
122,368.899,218.03
123,368.929,218.048
124,367.248,217.054
125,366.623,216.685
126,365.691,216.134
127,363.154,214.635
128,361.639,213.74
129,359.845,212.679
130,356.594,210.758
131,354.291,209.397
132,351.786,207.916
133,348.119,205.749
134,345.451,204.172
135,342.882,202.653
136,339.718,200.784
137,337.827,199.666
138,336.495,198.879
139,335.09,198.048
140,335.094,198.051
141,335.735,198.43
142,336.189,198.698
143,337.742,199.616
144,339.526,200.67
145,340.608,201.31
146,342.476,202.413
147,344.279,203.479
148,345.113,203.972
149,346.771,204.952
150,348.402,205.916
151,349.072,206.312
152,350.755,207.307
153,352.501,208.338
154,353.251,208.782
155,355.095,209.872
156,356.949,210.967
157,357.629,211.369
158,359.38,212.404
159,361.025,213.376
160,361.309,213.544
161,362.658,214.342
162,363.837,215.038
163,363.559,214.874
164,364.382,215.361
165,365.032,215.745
166,364.213,215.261
167,364.536,215.452
168,364.713,215.556
169,363.462,214.817
170,363.385,214.771
171,363.205,214.665
172,361.68,213.764
173,361.357,213.573
174,360.995,213.359
175,359.401,212.417
176,359.033,212.199
177,358.693,211.999
178,357.223,211.13
179,356.976,210.984
180,356.781,210.868
181,355.497,210.11
182,355.385,210.043
183,355.297,209.991
184,354.117,209.293
185,354.045,209.251
186,353.975,209.21
187,352.828,208.532
188,352.769,208.497
189,352.729,208.473
190,351.662,207.843
191,351.681,207.854
192,351.732,207.884
193,350.776,207.319
194,350.87,207.374
195,350.968,207.433
196,350.044,206.886
197,350.135,206.94
198,350.236,207
199,349.367,206.487
200,349.573,206.608
201,349.89,206.795
202,349.351,206.477
203,349.972,206.844
204,350.753,207.306
205,350.649,207.244
206,351.646,207.833
207,352.674,208.441
208,352.622,208.41
209,353.562,208.966
210,354.423,209.474
211,354.12,209.296
212,354.865,209.736
213,355.614,210.179
214,355.307,209.997
215,356.219,210.536
216,357.276,211.161
217,357.348,211.203
218,358.726,212.018
219,360.236,212.91
220,360.625,213.14
221,362.251,214.101
222,363.841,215.041
223,364.051,215.165
224,365.385,215.954
225,366.522,216.625
226,366.101,216.376
227,366.776,216.776
228,367.226,217.041
229,366.126,216.392
230,366.2,216.435
231,366.145,216.403
232,364.682,215.538
233,364.497,215.429
234,364.308,215.317
235,362.863,214.463
236,362.757,214.4
237,362.728,214.383
238,361.537,213.679
239,361.701,213.776
240,361.974,213.937
241,361.119,213.432
242,361.616,213.726
243,362.221,214.084
244,361.683,213.766
245,362.48,214.237
246,363.353,214.753
247,363.014,214.552
248,363.978,215.122
249,364.952,215.697
250,364.607,215.494
