time,temperature,kinetic_energy
0,300,1789.21
1,300.135,1790.01
2,300.696,1793.36
3,302.11,1801.79
4,305.033,1819.23
5,310.356,1850.97
6,318.994,1902.49
7,332.743,1984.49
8,353.018,2105.41
9,381.713,2276.55
10,421,2510.86
11,470.632,2806.87
12,538.655,3212.55
13,625.647,3731.38
14,735.11,4384.22
15,870.935,5194.28
16,1023.87,6106.37
17,1224.48,7302.82
18,1465.45,8740
19,1752.16,10449.9
20,2090.07,12465.2
21,2442.04,14564.4
22,2893.58,17257.4
23,3409.13,20332.2
24,3990.95,23802.2
25,4641.84,27684.1
26,5265.77,31405.2
27,6054.39,36108.6
28,6900.66,41155.7
29,7781.57,46409.5
30,8693.85,51850.4
31,9523.77,56800.1
32,10860.9,64774.9
33,12955.2,77265
34,16364,97595.4
35,21620.2,128943
36,28617.8,170677
37,39523.9,235721
38,55377.5,330273
39,77511.8,462282
40,107447,640818
41,152847,911582
42,299156,1.78417e+06
43,568266,3.38916e+06
44,1.40937e+18,8.4055e+18
45,1.26843e+19,7.56495e+19
46,3.4533e+19,2.05956e+20
47,6.81893e+19,4.06683e+20
48,1.36001e+20,8.11113e+20
49,3.70977e+20,2.21252e+21
50,7.97476e+20,4.75617e+21
51,1.72937e+22,1.0314e+23
52,1.47282e+23,8.78392e+23
53,2.63455e+24,1.57125e+25
54,2.08425e+25,1.24305e+26
55,5.84717e+26,3.48727e+27
56,4.76385e+27,2.84117e+28
57,1.32154e+28,7.88173e+28
58,2.59067e+28,1.54509e+29
59,4.28377e+28,2.55486e+29
60,6.40084e+28,3.81748e+29
61,8.76394e+28,5.22684e+29
62,1.17014e+29,6.97876e+29
63,1.50629e+29,8.98354e+29
64,1.88483e+29,1.12412e+30
65,2.30577e+29,1.37517e+30
66,2.714e+29,1.61864e+30
67,3.21489e+29,1.91737e+30
68,3.75817e+29,2.24138e+30
69,4.34385e+29,2.59069e+30
70,4.97193e+29,2.96527e+30
71,5.53012e+29,3.29818e+30
72,6.23608e+29,3.71922e+30
73,6.98443e+29,4.16554e+30
74,7.77518e+29,4.63714e+30
75,8.60833e+29,5.13403e+30
76,9.29514e+29,5.54365e+30
77,1.02041e+30,6.08577e+30
78,1.11555e+30,6.65317e+30
79,1.21493e+30,7.24585e+30
80,1.31854e+30,7.86382e+30
81,1.39801e+30,8.33779e+30
82,1.50901e+30,8.99977e+30
83,1.62424e+30,9.68704e+30
84,1.74372e+30,1.03996e+31
85,1.86744e+30,1.11374e+31
86,1.95568e+30,1.16637e+31
87,2.08658e+30,1.24444e+31
88,2.22171e+30,1.32503e+31
89,2.36108e+30,1.40816e+31
90,2.5047e+30,1.49381e+31
91,2.59976e+30,1.55051e+31
92,2.75036e+30,1.64032e+31
93,2.90519e+30,1.73266e+31
94,3.06426e+30,1.82753e+31
95,3.22757e+30,1.92493e+31
96,3.32756e+30,1.98457e+31
97,3.49765e+30,2.08601e+31
98,3.67199e+30,2.18998e+31
99,3.85056e+30,2.29649e+31
